"filename", "language", "PHP", "Markdown", "JSON", "Properties", "PowerShell", "Docker", "HTML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\.bolt\config.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\ADMIN_FILTERS_GUIDE.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 89
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\ADMIN_PDF_VIEWER.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 95
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\ADMIN_PREVIEW_GUIDE.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 128
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\ADMIN_TROUBLESHOOTING.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 58
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\CHANGELOG_ADMIN.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\DEPLOYMENT_ADMIN.md", "Markdown", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 146
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\Dockerfile", "Docker", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 5, 34
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\EMAILJS_SETUP.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 94
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\GOOGLE_ANALYTICS_SETUP.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 76
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\PORTAINER_ENV_GUIDE.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\PORTAINER_IMPORT.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 62
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\PORTAINER_SETUP.md", "Markdown", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 206
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\PORTAINER_VARIABLES.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 159
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\SECURITY_ADMIN.md", "Markdown", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 114
